x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_velocity
1216000,486400,57.3402290344,227.241699219,272.494903564,10.8526725769
1337600,486400,73.8907546997,230.391738892,272.540771484,22.6999092102
1459200,486400,72.1785507202,234.055526733,272.53112793,117.025115967
1580800,486400,82.9919281006,237.909805298,272.657745361,32.6199302673
1702400,486400,72.3579330444,240.470581055,272.333557129,6.3181552887
1824000,486400,101.592895508,241.07220459,272.271331787,0.00629559904337
1945600,486400,97.1959991455,242.973327637,272.226196289,28.0082035065
2067200,486400,204.732177734,244.953826904,272.260528564,66.820350647
2188800,486400,350.741973877,250.369400024,272.269317627,17.7486438751
-1824000,364800,714.69921875,257.058197021,272.167266846,0.419757604599
-1702400,364800,811.730285645,250.702423096,271.663818359,13.0212211609
-1580800,364800,395.080749512,246.610076904,271.597290039,4.38247966766
-1459200,364800,259.271514893,246.112579346,271.508209229,4.05721902847
-1337600,364800,248.429489136,244.936141968,271.426452637,131.567230225
-1216000,364800,194.672180176,243.37461853,271.370056152,286.334503174
-1094400,364800,162.992431641,242.298843384,271.449859619,2.5337126255
-972800,364800,186.324279785,241.36920166,271.524902344,3.15165257454
-851200,364800,231.097930908,241.73739624,271.592529297,1.97308373451
-729600,364800,259.168731689,242.196868896,271.650604248,1.03655135632
-608000,364800,189.586776733,241.690505981,271.605224609,0.712786495686
-486400,364800,137.565963745,238.685180664,271.756530762,11.4133453369
-364800,364800,112.000534058,235.436309814,271.806121826,44.6522789001
-243200,364800,86.2559356689,231.481903076,271.712127686,6.15988111496
-121600,364800,66.4940185547,228.325180054,271.978759766,3.58102965355
0,364800,49.9219093323,225.035217285,271.971038818,0.627302885056
121600,364800,43.6493492126,223.857696533,272.017547607,2.94427609444
243200,364800,42.4571685791,224.463348389,272.059661865,9.36161136627
364800,364800,31.1238861084,221.508544922,272.113098145,5.06386852264
486400,364800,27.6090297699,218.748748779,272.163726807,5.3815331459
608000,364800,24.7326278687,218.168395996,272.21383667,6.21319484711
729600,364800,19.3485774994,215.175323486,272.263214111,3.19347786903
851200,364800,18.3259983063,214.175415039,272.312042236,0.965832352638
972800,364800,26.0583343506,215.671524048,272.363891602,2.76621413231
1094400,364800,36.5241622925,220.451202393,272.411132812,5.70985603333
1216000,364800,64.4457397461,226.12928772,272.432647705,7.25227308273
