x-axis,y-axis,precipitation,precip_1,precip_2,precip_3,precip_4,precip_5,precip_6,precip_7,precip_8
1459200,2675200,688.666748047,652.124816895,713.031860352,744.032409668,731.652099609,718.442260742,672.233459473,616.805053711,628.481201172
1580800,2675200,731.652099609,713.031860352,744.032409668,763.607421875,761.375732422,759.051574707,718.442260742,672.233459473,688.666748047
1702400,2675200,761.375732422,744.032409668,763.607421875,784.834838867,792.599609375,804.225952148,759.051574707,718.442260742,731.652099609
1824000,2675200,792.599609375,763.607421875,784.834838867,806.818603516,826.294799805,848.949035645,804.225952148,759.051574707,761.375732422
1945600,2675200,826.294799805,784.834838867,806.818603516,827.688964844,856.536865234,891.78302002,848.949035645,804.225952148,792.599609375
2067200,2675200,856.536865234,806.818603516,827.688964844,836.240661621,862.832641602,905.278686523,891.78302002,848.949035645,826.294799805
2188800,2675200,862.832641602,827.688964844,836.240661621,860.995300293,872.33605957,904.072814941,905.278686523,891.78302002,856.536865234
2310400,2675200,872.33605957,836.240661621,860.995300293,917.663391113,919.353881836,939.295043945,904.072814941,905.278686523,862.832641602
2432000,2675200,919.353881836,860.995300293,917.663391113,956.715942383,966.749450684,981.457824707,939.295043945,904.072814941,872.33605957
2553600,2675200,966.749450684,917.663391113,956.715942383,955.321899414,975.710083008,991.292724609,981.457824707,939.295043945,919.353881836
2675200,2675200,975.710083008,956.715942383,955.321899414,924.059814453,942.481018066,957.003662109,991.292724609,981.457824707,966.749450684
2796800,2675200,942.481018066,955.321899414,924.059814453,868.924316406,884.145507812,900.640014648,957.003662109,991.292724609,975.710083008
2918400,2675200,884.145507812,924.059814453,868.924316406,810.530822754,826.002380371,841.546081543,900.640014648,957.003662109,942.481018066
3040000,2675200,826.002380371,868.924316406,810.530822754,,,,841.546081543,900.640014648,884.145507812
-3040000,2553600,672.666320801,,682.87487793,681.442321777,668.569030762,669.070373535,668.163574219,,
-2918400,2553600,668.569030762,682.87487793,681.442321777,673.603393555,664.736633301,672.493896484,669.070373535,668.163574219,672.666320801
-2796800,2553600,664.736633301,681.442321777,673.603393555,670.077331543,672.077453613,689.048461914,672.493896484,669.070373535,668.569030762
-2675200,2553600,672.077453613,673.603393555,670.077331543,669.465209961,672.957946777,698.789611816,689.048461914,672.493896484,664.736633301
-2553600,2553600,672.957946777,670.077331543,669.465209961,646.627868652,664.634338379,687.838134766,698.789611816,689.048461914,672.077453613
-2432000,2553600,664.634338379,669.465209961,646.627868652,601.879150391,639.090759277,666.918395996,687.838134766,698.789611816,672.957946777
-2310400,2553600,639.090759277,646.627868652,601.879150391,575.01159668,623.749755859,646.96270752,666.918395996,687.838134766,664.634338379
-2188800,2553600,623.749755859,601.879150391,575.01159668,574.278259277,629.660522461,645.666381836,646.96270752,666.918395996,639.090759277
-2067200,2553600,629.660522461,575.01159668,574.278259277,587.101135254,642.504577637,649.546081543,645.666381836,646.96270752,623.749755859
-1945600,2553600,642.504577637,574.278259277,587.101135254,593.201904297,635.005065918,629.670898438,649.546081543,645.666381836,629.660522461
-1824000,2553600,635.005065918,587.101135254,593.201904297,586.335510254,611.15411377,591.524475098,629.670898438,649.546081543,642.504577637
-1702400,2553600,611.15411377,593.201904297,586.335510254,576.10357666,600.429260254,580.239257812,591.524475098,629.670898438,635.005065918
-1580800,2553600,600.429260254,586.335510254,576.10357666,587.212768555,597.046508789,571.872924805,580.239257812,591.524475098,611.15411377
-1459200,2553600,597.046508789,576.10357666,587.212768555,586.847106934,581.50958252,546.436523438,571.872924805,580.239257812,600.429260254
-1337600,2553600,581.50958252,587.212768555,586.847106934,581.518005371,570.389526367,521.008300781,546.436523438,571.872924805,597.046508789
-1216000,2553600,570.389526367,586.847106934,581.518005371,566.263427734,552.02923584,506.11138916,521.008300781,546.436523438,581.50958252
-1094400,2553600,552.02923584,581.518005371,566.263427734,534.25769043,519.206787109,482.674530029,506.11138916,521.008300781,570.389526367
-972800,2553600,519.206787109,566.263427734,534.25769043,492.38092041,476.458343506,443.964141846,482.674530029,506.11138916,552.02923584
-851200,2553600,476.458343506,534.25769043,492.38092041,472.648010254,454.527313232,424.933410645,443.964141846,482.674530029,519.206787109
-729600,2553600,454.527313232,492.38092041,472.648010254,453.032012939,438.812896729,417.266448975,424.933410645,443.964141846,476.458343506
-608000,2553600,438.812896729,472.648010254,453.032012939,437.515960693,415.23059082,392.560791016,417.266448975,424.933410645,454.527313232
-486400,2553600,415.23059082,453.032012939,437.515960693,433.970397949,397.650299072,366.070953369,392.560791016,417.266448975,438.812896729
-364800,2553600,397.650299072,437.515960693,433.970397949,432.045684814,394.282806396,365.610748291,366.070953369,392.560791016,415.23059082
-243200,2553600,394.282806396,433.970397949,432.045684814,442.623291016,403.229187012,380.323822021,365.610748291,366.070953369,397.650299072
-121600,2553600,403.229187012,432.045684814,442.623291016,440.746795654,419.316741943,398.369018555,380.323822021,365.610748291,394.282806396
0,2553600,419.316741943,442.623291016,440.746795654,433.224060059,421.852539062,406.202453613,398.369018555,380.323822021,403.229187012
121600,2553600,421.852539062,440.746795654,433.224060059,435.888061523,423.441101074,410.374176025,406.202453613,398.369018555,419.316741943
243200,2553600,423.441101074,433.224060059,435.888061523,456.466796875,430.302490234,407.128845215,410.374176025,406.202453613,421.852539062
364800,2553600,430.302490234,435.888061523,456.466796875,486.920166016,453.095947266,405.952392578,407.128845215,410.374176025,423.441101074
