x-axis,y-axis,ice_thickness,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-1337600,2675200,0.0,586.847106934,266.295257568,272.837799072,2990964.5267037186,6.542541503999985,266.2998318141111,272.8368665907778,576.6945393880001
-1216000,2675200,0.0,581.518005371,265.754241943,272.820129395,2938596.7807782,7.06588745199997,265.7766215005555,272.81617228188884,566.8745863172222
-1094400,2675200,0.0,566.263427734,265.297302246,272.807983398,2890399.0035979464,7.510681151999961,265.3650071885556,272.79942491311107,550.6538357203333
-972800,2675200,0.0,534.25769043,264.995147705,272.803283691,2846583.018287013,7.808135985999968,265.08167182088886,272.7888047958889,524.8450690374444
-851200,2675200,0.0,492.38092041,264.874450684,272.796661377,2807353.9997656154,7.922210693000011,264.93198649100003,272.7849426268889,497.4076571993333
-729600,2675200,0.0,472.648010254,264.872070312,272.796386719,2772906.6338411034,7.924316406999992,264.8846266005555,272.7847934297778,473.48744032111114
-608000,2675200,0.0,453.032012939,264.912200928,272.790985107,2743421.046795406,7.878784178999979,264.88451131177777,272.77870686844443,455.74820285366667
-486400,2675200,0.0,437.515960693,264.918670654,272.753051758,2719058.6606397443,7.834381104000045,264.89399888766667,272.75512017144445,442.1084594725556
-364800,2675200,0.0,433.970397949,264.915863037,272.720153809,2699958.162638821,7.804290772000002,264.8885871038889,272.72286648233336,434.8441704642222
-243200,2675200,0.0,432.045684814,264.871704102,272.70199585,2686231.799379942,7.830291747999979,264.8924628363333,272.6999613444444,437.01637098511105
-121600,2675200,0.0,442.623291016,264.877746582,272.700958252,2677962.210338301,7.823211670000035,264.90975952155554,272.70045979822225,441.7551506888889
0,2675200,0.0,440.746795654,264.915863037,272.729095459,2675200.0,7.813232421999999,264.94128417977777,272.72064887166675,444.44394259977776
121600,2675200,0.0,433.224060059,264.921173096,272.765716553,2677962.210338301,7.844543456999986,264.98177761511107,272.75106472455553,444.13954332122216
