x-axis,y-axis,ice_velocity,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
3040000,2796800,,810.530822754,272.589324951,9.969209968390001e+36,4130821.9811558085,9.969209968390001e+36,273.7806892395417,9.969209968390001e+36,893.36009724925
-3040000,2675200,,682.87487793,274.880950928,9.969209968390001e+36,4049480.8358603204,9.969209968390001e+36,274.8512387956785,9.969209968390002e+36,686.0082702637143
-2918400,2675200,,681.442321777,274.574279785,9.969209968390001e+36,3959009.1689714487,9.969209968390001e+36,274.4255615234285,9.969209968390001e+36,685.2283865792572
-2796800,2675200,,673.603393555,274.197998047,9.969209968390001e+36,3870243.5685625784,9.969209968390001e+36,274.0481501987857,9.969209968389999e+36,681.1621631441191
-2675200,2675200,,670.077331543,273.550323486,9.969209968390001e+36,3783304.122060504,9.969209968390001e+36,273.70665445132653,9.765756703728981e+36,670.9780397999593
-2553600,2675200,,669.465209961,272.779968262,9.969209968390001e+36,3698319.6184213175,9.969209968390001e+36,272.8033017528163,9.35885017440694e+36,657.4872087751633
-2432000,2675200,,646.627868652,272.207763672,9.969209968390001e+36,3615427.9193478604,9.969209968390001e+36,272.19166720640817,8.748490380423877e+36,642.0922017000612
-2310400,2675200,,601.879150391,271.874725342,9.969209968390001e+36,3534776.2588316677,9.969209968390001e+36,271.506809779551,7.934677321779796e+36,626.9606136400205
-2188800,2675200,,575.01159668,271.407409668,9.969209968390001e+36,3456521.442143821,9.969209968390001e+36,270.82284359055103,7.120864263135713e+36,611.400907555449
-2067200,2675200,,574.278259277,270.5909729,9.969209968390001e+36,3380829.909948148,9.969209968390001e+36,270.1472317442449,6.103597939830613e+36,594.9313130282245
-1945600,2675200,,587.101135254,269.754547119,273.41418457,3307877.62772446,3.6596374509999805,269.45980959522444,4.8828783518644906e+36,581.0151927714899
-1824000,2675200,,593.201904297,268.978637695,273.196960449,3237849.755624865,4.218322754000042,268.74446448500004,3.865612028559388e+36,574.7681573362246
-1702400,2675200,,586.335510254,268.269439697,273.036590576,3170940.0498905685,4.767150878999985,268.0348940479388,2.8483457052542866e+36,568.7917393276326
-1580800,2675200,,576.10357666,267.617553711,272.923736572,3107349.944888731,5.306182860999968,267.3842293875306,2.0345326466102043e+36,562.4078412737755
-1459200,2675200,,587.212768555,266.91519165,272.85534668,3047287.265749654,5.940155030000028,266.7977936413673,1.424172852627143e+36,554.5175058793673
-1337600,2675200,,586.847106934,266.295257568,272.837799072,2990964.5267037186,6.542541503999985,266.2788914271837,8.138130586440817e+35,544.0432278380408
-1216000,2675200,,581.518005371,265.754241943,272.820129395,2938596.7807782,7.06588745199997,265.82841211440814,4.069065293220408e+35,530.8918039750204
-1094400,2675200,,566.263427734,265.297302246,272.807983398,2890399.0035979464,7.510681151999961,265.4603358677755,2.034532646610204e+35,516.7378838986939
-972800,2675200,,534.25769043,264.995147705,272.803283691,2846583.018287013,7.808135985999968,265.1885874223265,272.75843219365305,500.8714375398776
-851200,2675200,,492.38092041,264.874450684,272.796661377,2807353.9997656154,7.922210693000011,265.0005760971837,272.7425481056531,484.91491450095924
-729600,2675200,,472.648010254,264.872070312,272.796386719,2772906.6338411034,7.924316406999992,264.8742470255102,272.7260511748367,470.84026414522447
-608000,2675200,,453.032012939,264.912200928,272.790985107,2743421.046795406,7.878784178999979,264.7904339226327,272.7084363042041,459.09732740755106
-486400,2675200,,437.515960693,264.918670654,272.753051758,2719058.6606397443,7.834381104000045,264.75155951055103,272.6928100585919,451.40776902806124
-364800,2675200,,433.970397949,264.915863037,272.720153809,2699958.162638821,7.804290772000002,264.7482854103469,272.68282894216327,448.35989878132654
-243200,2675200,,432.045684814,264.871704102,272.70199585,2686231.799379942,7.830291747999979,264.76541013136733,272.6787352270612,446.7343830965306
-121600,2675200,,442.623291016,264.877746582,272.700958252,2677962.210338301,7.823211670000035,264.8033017528367,272.68010851810203,446.40753111544893
0,2675200,,440.746795654,264.915863037,272.729095459,2675200.0,7.813232421999999,264.8507248236327,272.69070745979593,448.5818431620408
121600,2675200,,433.224060059,264.921173096,272.765716553,2677962.210338301,7.844543456999986,264.9042084363469,272.7143897232041,452.0601476552244
243200,2675200,,435.888061523,264.953186035,272.807006836,2686231.799379942,7.85382080100004,264.9918318768164,272.7485407615306,456.3326521892449
364800,2675200,,456.466796875,265.025054932,272.862030029,2699958.162638821,7.836975096999993,265.1241573411837,272.79396275116324,461.7147478375307
